split,metric,value,N,ci_lo,ci_hi
OOF,R,0.8072753841023034,18714,0.8011919997381961,0.8138140453834235
OOF,SD,1.0965071280236085,18714,1.0805980575815066,1.1122365291408576
OOF,RMSE,1.0965221389657724,18714,1.0806329162544928,1.1122381433756536
OOF,MAE,0.8251108154794483,18714,0.8146561208311061,0.8353312168147762
OOF,CI,0.8063703959418554,18714,0.8010524074654145,0.8141244903960106
CASF-2016,R,0.8465372573520407,285,0.8094176155673453,0.8787100629650865
CASF-2016,SD,1.2004643715916763,285,1.0888790477310957,1.307170346654458
CASF-2016,RMSE,1.204040770920987,285,1.0965440857339885,1.3153924486603628
CASF-2016,MAE,0.9304767279058257,285,0.8436318211599239,1.0182546020208592
CASF-2016,CI,0.8271097464342314,285,0.803639859258145,0.8497238295656148
CASF-2013,R,0.8100702276296444,195,0.7568586684683424,0.8532667738346501
CASF-2013,SD,1.3652030837194438,195,1.2349979276833327,1.4778166956588783
CASF-2013,RMSE,1.3664268166598268,195,1.237416673204649,1.4897807345803273
CASF-2013,MAE,1.1128269519923824,195,1.0054673312783253,1.2206716914594564
CASF-2013,CI,0.8059677761288955,195,0.775694270463836,0.8336010347864782
