iter	Passed	Remaining
354	257401	1917825
355	258094	1916859
356	258799	1915988
357	259524	1915261
358	260238	1914459
359	260965	1913744
360	261676	1912918
361	262390	1912118
362	263109	1911351
363	263843	1910691
364	264584	1910082
365	265306	1909338
366	266042	1908693
367	266766	1907957
368	267472	1907102
369	268213	1906490
370	268916	1905610
371	269645	1904916
372	270341	1903985
373	271133	1903736
374	271846	1902926
375	272567	1902172
376	273294	1901464
377	274034	1900843
378	274746	1900030
379	275487	1899410
380	276212	1898688
381	276920	1897850
382	277664	1897252
383	278378	1896451
384	279096	1895683
385	279789	1894737
386	280511	1893999
387	281215	1893131
388	281915	1892243
389	282651	1891587
390	283376	1890868
391	284068	1889925
392	284796	1889222
393	285522	1888503
394	286265	1887902
395	286989	1887176
396	287721	1886497
397	288437	1885715
398	289124	1884743
399	289879	1884214
400	290600	1883470
401	291315	1882681
402	292056	1882063
403	292783	1881348
404	293497	1880555
405	294259	1880073
406	295001	1879456
407	295718	1878683
408	296459	1878061
409	297185	1877340
410	297890	1876495
411	298586	1875586
412	299356	1875147
413	300079	1874411
414	300790	1873599
415	301500	1872784
416	302223	1872044
417	302950	1871334
418	303686	1870680
419	304423	1870033
420	305119	1869126
421	305852	1868455
422	306580	1867750
423	307279	1866865
424	308031	1866309
425	308732	1865441
426	309433	1864573
427	310160	1863864
428	310885	1863141
429	311645	1862628
430	312334	1861690
431	313039	1860843
432	313765	1860128
433	314495	1859434
434	315289	1859123
435	316024	1858456
436	316728	1857609
437	317445	1856836
438	318156	1856036
439	318875	1855273
440	319577	1854418
441	320307	1853725
442	321037	1853032
443	321742	1852194
444	322475	1851514
445	323193	1850754
446	323909	1849978
447	324636	1849267
448	325342	1848438
449	326054	1847644
450	326764	1846833
451	327484	1846084
452	328161	1845095
453	328882	1844352
454	329573	1843438
455	330288	1842661
456	331020	1841978
457	331744	1841252
458	332465	1840514
459	333178	1839723
460	333909	1839036
461	334621	1838248
462	335330	1837438
463	336067	1836780
464	336766	1835922
465	337478	1835132
466	338234	1834577
467	338953	1833828
468	339670	1833059
469	340365	1832178
470	341066	1831330
471	341788	1830597
472	342505	1829834
473	343227	1829100
474	343933	1828276
475	344649	1827510
476	345349	1826660
477	346064	1825890
478	346781	1825126
479	347505	1824405
480	348220	1823634
481	348955	1822965
482	349652	1822099
483	350388	1821443
484	351115	1820732
485	351833	1819980
486	352576	1819353
487	353291	1818581
488	353991	1817733
489	354698	1816923
490	355410	1816142
491	356114	1815312
492	356856	1814686
493	357580	1813961
494	358347	1813453
495	359074	1812746
496	359871	1812392
497	360593	1811655
498	361301	1810852
499	362019	1810099
500	362778	1809547
501	363501	1808816
502	364223	1808085
503	364947	1807359
504	365660	1806578
505	366383	1805848
506	367091	1805048
507	367834	1804418
508	368554	1803671
509	369301	1803058
510	370019	1802306
511	370721	1801476
512	371436	1800706
513	372153	1799950
514	372851	1799098
515	373570	1798351
516	374285	1797586
517	374989	1796763
518	375714	1796044
519	376450	1795377
520	377126	1794426
521	377839	1793651
522	378574	1792980
523	379285	1792194
524	379987	1791371
525	380729	1790732
526	381440	1789947
527	382144	1789132
528	382851	1788327
529	383578	1787619
530	384305	1786910
531	385019	1786142
532	385742	1785414
533	386467	1784698
534	387205	1784042
535	387903	1783198
536	388636	1782519
537	389332	1781667
538	390065	1780985
539	390752	1780093
540	391443	1779220
541	392159	1778464
542	392860	1777640
543	393597	1776978
544	394293	1776128
545	395007	1775362
546	395730	1774638
547	396443	1773865
548	397159	1773110
549	397847	1772230
550	398569	1771501
551	399260	1770632
552	399980	1769894
553	400685	1769093
554	401413	1768388
555	402139	1767679
556	402862	1766951
557	403577	1766196
558	404411	1765953
559	405111	1765130
560	405823	1764357
561	406587	1763807
562	407277	1762939
563	407994	1762189
564	408731	1761522
565	409434	1760711
566	410119	1759824
567	410856	1759161
568	411519	1758181
569	412220	1757359
570	412932	1756588
571	413680	1755974
572	414384	1755166
573	415102	1754423
574	415799	1753589
575	416527	1752885
576	417229	1752076
577	417951	1751345
578	418671	1750610
579	419396	1749895
580	420116	1749159
581	420817	1748344
582	421524	1747556
583	422235	1746781
584	422939	1745982
585	423662	1745259
586	424402	1744603
587	425122	1743867
588	425847	1743153
589	426600	1742554
590	427317	1741805
591	428015	1740980
592	428714	1740162
593	429441	1739455
594	430174	1738771
595	430867	1737929
596	431584	1737181
597	432321	1736515
598	433039	1735771
599	433745	1734981
600	434478	1734299
601	435206	1733597
602	435911	1732802
603	436675	1732242
604	437406	1731553
605	438104	1730729
606	438807	1729926
607	439535	1729225
608	440237	1728420
609	440967	1727726
610	441674	1726939
611	442411	1726270
612	443123	1725505
613	443834	1724736
614	444562	1724033
615	445265	1723235
616	445998	1722550
617	446705	1721767
618	447393	1720910
619	448120	1720204
620	448879	1719619
621	449604	1718904
622	450313	1718130
623	451050	1717460
